heff,s
7.364185829680765e-05,0.866
7.098396972686763e-05,0.867
6.852903477672842e-05,0.868
6.623387499284298e-05,0.869
6.394819739775007e-05,0.87
6.167193446429724e-05,0.871
5.944285872580254e-05,0.872
5.7396361198799126e-05,0.873
5.5476587695627164e-05,0.874
5.3564688833123785e-05,0.875
5.166064030951854e-05,0.876
4.979767133780798e-05,0.877
4.804730781809041e-05,0.878
4.636344667324136e-05,0.879
4.468647366854504e-05,0.88
4.3016355804919805e-05,0.881
4.1419111020800115e-05,0.882
3.99656409390503e-05,0.883
3.856901257495335e-05,0.884
3.71780587031401e-05,0.885
3.579275758204377e-05,0.886
3.447367295131065e-05,0.887
3.326886159665673e-05,0.888
3.2089701374537086e-05,0.889
3.091531253958734e-05,0.89
2.9745662113273382e-05,0.891
2.8651263663872566e-05,0.892
2.7623727561920873e-05,0.893
2.6600333223137593e-05,0.894
2.5581058886004442e-05,0.895
2.458839123380139e-05,0.896
2.3688233887896153e-05,0.897
2.283555756192331e-05,0.898
2.1986314534789415e-05,0.899
2.1140473437312507e-05,0.9
2.0331155226644004e-05,0.901
1.9593526172555156e-05,0.902
1.887407256278277e-05,0.903
1.81574889073751e-05,0.904
1.7445514918588535e-05,0.905
1.6790110568422162e-05,0.906
1.6176060498413637e-05,0.907
1.5564450021099272e-05,0.908
1.4955269916744475e-05,0.909
1.4368582705930734e-05,0.91
1.3828629417968261e-05,0.911
1.3303554324682335e-05,0.912
1.278054565693674e-05,0.913
1.2259617996026924e-05,0.914
1.1780253949073347e-05,0.915
1.1336513657845209e-05,0.916
1.0894521502412664e-05,0.917
1.0454270943521783e-05,0.918
1.003051611008146e-05,0.919
9.645359605122798e-06,0.92
9.272027009135167e-06,0.921
8.90015850163536e-06,0.922
8.532202688908001e-06,0.923
8.198454683693391e-06,0.924
7.885250316513492e-06,0.925
7.573269019762108e-06,0.926
7.262506399024297e-06,0.927
6.96832918925855e-06,0.928
6.700907187489476e-06,0.929
6.436333680839212e-06,0.93
6.172790625302075e-06,0.931
5.916448608421531e-06,0.932
5.681993105326887e-06,0.933
5.455876943275272e-06,0.934
5.230637246595347e-06,0.935
5.007482797441451e-06,0.936
4.804929397780054e-06,0.937
4.6148432183726785e-06,0.938
4.425491422256261e-06,0.939
4.236868885308631e-06,0.94
4.060863418258025e-06,0.941
3.900312745111736e-06,0.942
3.7403802005679004e-06,0.943
3.581062140782461e-06,0.944
3.428507367326611e-06,0.945
3.2898631086466818e-06,0.946
3.1534300238761594e-06,0.947
3.0175222813586204e-06,0.948
